Timestamp,Date,Time,Location,Temp,Wind mph,Wind ,Feels like,Precipitation,% humidity,Lower Layer 1: THIN TIGHTS,Shorts,Lower Layer 1: THICK TIGHTS,Lower Layer 2: THIN TOP LAYER,Lower Layer 2: THICK TOP LAYER,Lower Layer 3: THIN TOP LAYER,Lower Layer 3: THICK TOP LAYER,Upper Layer 1: THIN LONG SLEEVE,tank top,Upper Layer 1: THICK LONG SLEEVE,Upper Layer 1: SHORT SLEEVE,Upper Layer 2: THIN 1/4 ZIP,Upper Layer 2: THICK 1/4 ZIP,Upper Layer 2: TEAL JACKET,Upper Layer 2: YELLOW WIND BREAKER,Upper Layer 2: VEST WIND BREAKER,Upper Layer 3: THIN 1/4 ZIP,Upper Layer 3: THICK 1/4 ZIP,Upper Layer 3: TEAL JACKET,Upper Layer 3: YELLOW WIND BREAKER,Upper Layer 3: VEST WIND BREAKER,Head: SINGLE HEADBAND,Head: DOUBLE HEADBAND,Head: STOCKING HAT,Head: STOCKING HAT + HEAD BAND,Head: FULL FACE,NECK: Turtle Neck Shirt,NECK: NECK SLEEVE,HANDS: STRIPED with HOLES,HANDS: THIN NIKE,HANDS: FLIP MITTENS,HANDS: WOOL MITTENS,"SOCKS: Thin, short","SOCKS: Thin, tall","SOCKS: Thick, short","SOCKS: Thick, tall","Notes
",Upper layer success: JUST RIGHT,Upper layer success: LITTLE HOT,Upper layer success: HOT,Upper layer success: REAL HOT,Upper layer success: LITTLE COLD ,Upper layer success: COLD ,Upper layer success: REAL COLD ,Lower layer success: JUST RIGHT,Lower layer success: LITTLE HOT,Lower layer success: HOT,Lower layer success: REAL HOT,Lower layer success: LITTLE COLD,Lower layer success: COLD,Lower layer success: REAL COLD,Lower Layer 1: SHORTS,Upper Layer 1: TANK TOP
1/4/2025 7:20:18,1/4/2024,6:15:00 AM,,23,8,"North, East",14,none,67,1,,,,1,,,,,1,,,1,,,,,,,,,1,,,,,1,,,,1,,,,,,,1,,,,,,,,1,,,,,,,
1/1/2025 16:25:00,12/24/2024,6:15:00 AM,65202,33,9,"North, East",26,none,96,0,,1,0,0,0,0,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,1,0,1,0,0,0,,,1,,,,,,,1,,,,,,,
1/1/2025 16:22:18,12/27/2024,7:30:00 AM,65202,47,6,East,47,none,97,1,,0,0,0,0,0,1,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,
1/1/2025 14:55:26,12/31/2024,7:45:00 AM,65202,36,16,"North, West",26,fog,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2025 15:55:25,12/31/2024,7:45:00 AM,65202,36,16,"North, West",26,fog,97,0,,1,0,0,0,0,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,,0,1,0,,0,0,0,1,0,0,0,0,0,0,,
1/2/2025 5:57:17,1/2/2025,4:50:00 AM,,30,6,East,27,none,86,,,1,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,1,,1,,,,,,1,,,,,,1,,,,,,,,
1/8/2025 21:11:08,1/7/2025,5:00:00 AM,Treadhell ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/11/2025 11:35:07,1/9/2025,5:00:00 AM,Treadhell ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/11/2025 11:35:45,1/11/2025,7:00:00 AM,Treadhell ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/18/2025 11:41:40,1/14/2025,5:00:00 AM,Treadhell ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Icy roads,,,,,,,,,,,,,,,,
1/18/2025 11:42:30,1/16/2025,5:00:00 AM,Treadhell ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Icy roads,,,,,,,,,,,,,,,,
1/18/2025 11:44:37,1/18/2025,7:00:00 AM,65201,22,18,"North, West",7,none,71,,,1,1,,,,,,1,,,,1,,,,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,,,,1,,,,,,,,
1/21/2025 6:25:43,1/21/2025,5:30:00 AM,65202,-4,9,"North, West",-22,none,60,,,1,,1,,,,,1,,,1,,,,,,1,1,,1,,1,,,1,1,,,,1,,1,,,"Carhart mittens ok, but too tight. A little warm.",1,,,,,,,1,,,,,,,,
1/23/2025 6:10:13,1/24/2025,5:00:00 AM,65202,33,9,West,22,none,76,,,1,,,,,,,1,,,1,,,,,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,,,,1,,,,,,,,
1/30/2025 7:35:54,1/30/2025,4:45:00 AM,65202,42,10,"East, South",38,Light rain,60,,,1,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,1,,,1,,,,,1,,,,,,,1,,,,,,,,
2/1/2025 21:45:39,2/1/2025,6:45:00 AM,65201,30,6,East,22,none,99,,,1,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,1,,1,,,,,,1,,,,,,1,,,,,,,,
2/4/2025 5:55:33,2/4/2025,5:00:00 AM,65202,35,14,"North, East",26,none,80,,,1,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,1,,1,,,,,,1,,,,,,1,,,,,,,,
2/6/2025 18:49:15,2/6/2025,5:00:00 AM,65202,34,9,"North, West",27,none,92,,,1,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,1,,,1,,,,,1,,,,,,1,,,,,,,,
2/11/2025 6:00:42,2/8/2025,7:00:00 AM,65203,33,6,North,28,Light rain,99,,,1,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,1,,,1,,,,,,1,,,,,,1,,,,,,,,
2/11/2025 6:02:24,2/11/2025,5:00:00 AM,65202,31,10,"North, East",23,none,68,,,1,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,1,,1,,,,,1,,,,,,,1,,,,,,,,
2/15/2025 15:14:03,2/15/2025,7:30:00 AM,65203,36,8,"East, South",30,Light rain,98,,,1,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,1,,,1,,,,Pink striped gloves,1,,,,,,,,1,,,,,,,
2/18/2025 11:01:57,2/18/2025,5:30:00 AM,65202,0,13,"North, East",-18,none,78,,,1,,1,,,,,1,,,1,,,,,,1,1,,,,,1,,1,1,,,,1,,,,1,,1,,,,,,,1,,,,,,,,
2/22/2025 7:55:20,2/22/2025,6:00:00 AM,65202,15,7,"West, South",7,none,72,,,1,1,,,,,,1,,,,1,,,,,,,,1,,,,,1,,,,1,,1,,,,Felt a little cold to start but ok overall. Thick tights probably would have been good. ,1,,,,,,,1,1,,,,,,,
2/25/2025 6:04:12,2/25/2025,5:00:00 AM,65202,40,9,"North, West",34,none,79,,,1,,,,,1,,,,1,,,,,,,,,,1,,,,,,,1,,,,1,,,,,1,,,,,,,1,,,,,,,,
3/4/2025 5:54:33,3/4/2025,5:00:00 AM,65202,57,14,"East, South",53,rain,100,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermittent heavy rain,1,,,,,,,1,,,,,,,,
3/6/2025 5:57:50,3/6/2025,5:00:00 AM,65202,26,7,West,18,none,79,,,1,,,,,,,1,,,1,,,,,,,,,1,,,,,1,,,,1,,,,,,,1,,,,,,,1,,,,,,,,
3/9/2025 5:48:29,3/8/2025,6:30:00 AM,65203,32,3,"North, West",29,none,90,,,1,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,1,,,,,,,,
3/11/2025 5:51:48,3/11/2025,5:00:00 AM,65202,51,8,"West, South",49,none,50,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shorts, little cool, but good",1,,,,,,,1,,,,,,,,
3/13/2025 20:55:35,3/13/2025,5:00:00 AM,65202,50,6,"North, East",48,none,67,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/4 tights,1,,,,,,,1,,,,,,,,
3/19/2025 21:20:01,3/15/2025,7:00:00 AM,65203,53,15,"West, South",48,none,63,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shorts,,,,,,,,,,,,,,,,
3/19/2025 21:21:38,3/18/2025,5:00:00 AM,65202,56,13,"East, South",,none,40,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shorts,,,,,,,,,,,,,,,,
3/20/2025 6:17:26,3/20/2025,5:00:00 AM,65202,33,16,"North, West",23,none,73,,,1,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,
3/26/2025 13:22:42,3/26/2025,6:00:00 AM,"Bridgetown, Barbados",78,25,,84,none,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shorts/tank top,,,,,,,,,,,,,,,,
4/11/2025 21:18:29,4/10/2025,5:00:00 AM,65202,46,4,"West, South",,none,80,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank top under the Lon sleeve,1,,,,,,,1,,,,,,,,
4/22/2025 13:05:07,4/22/2025,5:00:00 AM,65202,53,9,"East, South",,none,74,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shorts,1,,,,,,,1,,,,,,,,
4/26/2025 17:43:35,4/22/2025,5:00:00 AM,65202,54,9,"East, South",52,other,74,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shorts,1,,,,,,,1,,,,,,,,
4/26/2025 17:42:24,4/24/2025,5:00:00 AM,65202,,,,,none,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Shorts,1,,,,,,,1,,,,,,,,
4/26/2025 17:39:39,4/26/2025,7:00:00 AM,65202,53,11,"North, East",50,none,80,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Notes,,1,,,,,,1,,,,,,,,
5/5/2025 19:01:14,5/5/2025,8:00:00 AM,65203,,,,,none,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Shorts,1,,,,,,,1,,,,,,,,
5/6/2025 5:44:49,5/6/2025,5:00:00 AM,65202,46,2,East,46,none,95,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/4 length tights; shorts would have been ok too,1,,,,,,,1,,,,,,,,
5/8/2025 6:00:16,5/8/2025,5:00:00 AM,65202,57,6,"North, East",56,none,90,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Shorts,1,1,,,,,,1,,,,,,,,
5/13/2025 20:17:30,5/9/2025,6:30:00 AM,60360,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,
5/13/2025 20:15:36,5/13/2025,5:00:00 AM,65202,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Shorts,1,,,,,,,1,,,,,,,,
5/17/2025 21:57:00,5/17/2025,6:50:00 AM,65203,56,13,West,56,none,57,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Shorts,1,,,,,,,1,,,,,,,,
5/22/2025 4:32:29,5/20/2025,5:00:00 AM,65202,61,6,"East, South",60,Light rain,98,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Shorts,1,,,,,,,1,,,,,,,,
5/22/2025 19:53:39,5/22/2025,5:00:00 AM,65202,50,6,"North, West",46,other,76,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shorts,1,,,,,,,1,,,,,,,,
5/27/2025 4:38:55,5/26/2025,5:45:00 AM,65202,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shorts,1,,,,,,,1,,,,,,,,
5/27/2025 5:45:39,5/27/2025,5:00:00 AM,65202,57,7,"North, East",56,none,76,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shorts,,1,,,,,,1,,,,,,,,
5/29/2025 5:56:00,5/29/2025,5:00:00 AM,65202,58,2,West,58,,91,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Shorts,1,,,,,,,1,,,,,,,,
5/31/2025 11:47:37,5/31/2025,6:30:00 AM,65202,56,6,West,56,none,75,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Shorts,1,,,,,,,1,,,,,,,,
7/14/2025 9:17:38,6/3/2025,5:00:00 AM,65202,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,1
6/5/2025 6:00:25,6/5/2025,5:00:00 AM,65202,64,5,"North, East",64,none,93,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,1
6/10/2025 21:37:59,6/9/2025,5:00:00 AM,65202,55,1,West,,,93,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,
6/13/2025 4:44:23,6/12/2025,5:00:00 AM,65202,69,3,West,70,none,86,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,1
10/9/2025 7:49:51,10/9/2025,5:00:00 AM,65202,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,
,6/14/2025,6:45:00 AM,65202,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/17/2025,5:00:00 AM,65202,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/19/2025,5:00:00 AM,65202,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/21/2025,6:00:00 AM,65202,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/24/2025,5:00:00 AM,65202,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/26/2025,5:00:00 AM,65202,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/28/2025,6:00:00 AM,65202,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/1/2025,5:00:00 AM,65202,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/3/2025,5:00:00 AM,65202,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/4/2025,8:00:00 AM,65202,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/8/2025,5:00:00 AM,65202,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/10/2025,5:00:00 AM,65202,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2025,5:00:00 AM,65202,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/15/2025,5:00:00 AM,65202,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/18/2025,5:00:00 AM,65202,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/21/2025,5:00:00 AM,64112,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/23/2025,5:00:00 AM,65202,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/25/2025,5:00:00 AM,65202,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/29/2025,5:00:00 AM,65065,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/31/2025,5:00:00 AM,65202,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/2/2025,7:00:00 AM,65202,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/5/2025,5:00:00 AM,65202,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/7/2025,5:00:00 AM,65202,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/9/2025,6:45:00 AM,65202,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,